iter	MultiClass
119	0.7603579407
120	0.7598319782
121	0.7591318347
122	0.7582755765
123	0.7575344504
124	0.7569777353
125	0.7560800851
126	0.7558060038
127	0.7550368847
128	0.7540579871
129	0.753562435
130	0.7527587449
131	0.7522361101
132	0.7516078414
133	0.750732197
134	0.7498640695
135	0.7491318304
136	0.7488771293
137	0.7479316359
138	0.7473668522
139	0.7467664052
140	0.7462861282
141	0.7457866962
142	0.7454412137
143	0.7448596095
144	0.7443783424
145	0.7434932228
146	0.7431033335
147	0.7429241516
148	0.7424757849
149	0.7423150192
150	0.7416302583
151	0.7412990048
152	0.7410828989
153	0.7408130328
154	0.7406685725
155	0.7399312601
156	0.7396656925
157	0.7393982143
158	0.7388019619
159	0.7382946226
160	0.7378040815
161	0.7372982595
162	0.7366869262
163	0.7360536117
164	0.7357905279
165	0.7354513846
166	0.7349957999
167	0.7341692849
168	0.7336639614
169	0.7332112715
170	0.7325842524
171	0.7322020846
172	0.7316847266
173	0.7309549984
174	0.730035249
175	0.7296766168
176	0.7295410055
177	0.7290729737
178	0.7287984464
179	0.7283488356
180	0.7277721107
181	0.7276308508
182	0.72721184
183	0.7268147899
184	0.7256812638
185	0.7250045438
186	0.7248317569
187	0.7246335447
188	0.7239395987
189	0.7235335353
190	0.7232524789
191	0.7229200341
192	0.722609819
193	0.7220888433
194	0.7218211535
195	0.7215058599
196	0.7212798347
197	0.7210272293
198	0.7205641379
199	0.7204472512
200	0.7199916433
201	0.7193382172
202	0.7189562268
203	0.718544867
204	0.7182446379
205	0.7177949626
206	0.7176396639
207	0.717058454
208	0.7169072677
209	0.7165126514
210	0.7162800546
211	0.7160658572
212	0.715079198
213	0.7143195325
214	0.7141121296
215	0.713925655
216	0.7132570115
217	0.7130641813
218	0.7128039308
219	0.7125588902
220	0.7122614278
221	0.7117697458
222	0.7116289206
223	0.7113164045
224	0.7109300248
225	0.7105754244
226	0.7104583085
227	0.7100709001
228	0.7098461827
229	0.7096779315
230	0.7094143831
231	0.7092437972
232	0.7088720542
233	0.708491091
234	0.708278328
235	0.7076859741
236	0.707456118
237	0.7072841706
238	0.7071888118
239	0.7070362176
240	0.7069117603
241	0.7063197889
242	0.7059641217
243	0.7057322272
244	0.7055466761
245	0.7054088716
246	0.7052951242
247	0.7050212386
248	0.7044758581
249	0.7042380176
250	0.7038207514
251	0.7036033822
252	0.7034077606
253	0.7033075702
254	0.703066769
255	0.7024804451
256	0.702264248
257	0.7020030034
258	0.7017134761
259	0.7014202172
260	0.7013495465
261	0.7011241442
262	0.7006391279
263	0.7005082028
264	0.7003333742
265	0.7001680661
266	0.6997382962
267	0.6994945749
268	0.699360089
269	0.6990982473
270	0.698620639
271	0.698325376
272	0.6981525326
273	0.6978940157
274	0.6975956674
275	0.6972244245
276	0.6970175507
277	0.6968771325
278	0.6966821753
279	0.6963002618
280	0.6960817295
281	0.6959059634
282	0.6956139776
283	0.6953269168
284	0.6949944456
285	0.694585605
286	0.6943102442
287	0.6941862193
288	0.6938689227
289	0.6937023991
290	0.6932625997
291	0.6928500392
292	0.6924698418
293	0.6923535617
294	0.6920351744
295	0.6917200631
296	0.6915688086
297	0.6913304489
298	0.6911868019
299	0.6910019687
300	0.690675564
301	0.690403931
302	0.6900378612
303	0.689914586
304	0.6897351129
305	0.6894946253
306	0.6893895653
307	0.6891460941
308	0.689012479
309	0.6887139691
310	0.6884963678
311	0.6883674556
312	0.6880263679
313	0.6879191867
314	0.6877189294
315	0.6872899437
316	0.68699117
317	0.6868403723
318	0.6866976889
319	0.6864857734
320	0.6862846646
321	0.6860521894
322	0.6858809751
323	0.6857519534
324	0.6854501669
325	0.6852309042
326	0.6849123854
327	0.6848390874
328	0.6845799375
329	0.6843376267
330	0.6838777998
331	0.6837170506
332	0.6835965979
333	0.6834328567
334	0.6832592156
335	0.6831265849
336	0.6828752211
337	0.6827489315
338	0.682482973
339	0.6823265943
340	0.6822593285
341	0.6819808662
342	0.6818222864
343	0.6817674557
344	0.6815489813
345	0.6813277494
346	0.681226154
347	0.6809940337
348	0.6808645358
349	0.6805337886
350	0.6800695794
351	0.6799895133
352	0.6798043273
353	0.6796461355
354	0.6794486148
355	0.6793021343
356	0.6791282846
357	0.6790586712
358	0.6789470765
359	0.6786752771
360	0.6783011508
361	0.6782310393
362	0.6778530313
363	0.677373813
364	0.6771543173
365	0.6769646492
366	0.6767529029
367	0.6765195545
368	0.676332069
369	0.6761470158
370	0.6760480354
371	0.6758373691
372	0.6757316319
373	0.6753617096
374	0.6752193273
375	0.6750287818
376	0.674811276
377	0.6746073558
378	0.6743415702
379	0.6742017384
380	0.6737526267
381	0.673476797
382	0.6732046114
383	0.6730617844
384	0.6728951203
385	0.6726621792
386	0.6725879092
387	0.6724171784
388	0.672324642
389	0.6719896285
390	0.6718079864
391	0.6715836503
392	0.6714818738
393	0.6712863349
394	0.6712157745
395	0.6711088132
396	0.6706186031
397	0.6704732843
398	0.6703647303
399	0.6702343812
